iter	RMSE
0	9.309376307
1	9.253860803
2	9.200302992
3	9.147824293
4	9.094918377
5	9.041823345
6	8.989075746
7	8.942232833
8	8.893614639
9	8.843252152
10	8.793219021
11	8.744354097
12	8.696592897
13	8.648813803
14	8.602292389
15	8.55604425
16	8.510355345
17	8.46503092
18	8.421547065
19	8.377738903
20	8.333954921
21	8.29385294
22	8.251125908
23	8.209017825
24	8.169121943
25	8.128809865
26	8.08999669
27	8.053936013
28	8.016117637
29	7.978520557
30	7.943023816
31	7.908742876
32	7.873294342
33	7.836261217
34	7.804095531
35	7.768722659
36	7.735787197
37	7.700956186
38	7.669189403
39	7.635409104
40	7.603166154
41	7.570227624
42	7.539756723
43	7.50789601
44	7.476994034
45	7.446235459
46	7.41565418
47	7.387817433
48	7.360165289
49	7.332651957
50	7.306962629
51	7.279133416
52	7.25197336
53	7.223975044
54	7.197620341
55	7.173643868
56	7.148938251
57	7.124117542
58	7.097978487
59	7.074290692
60	7.049891371
61	7.026015474
62	7.004500828
63	6.982009887
64	6.960505679
65	6.93718453
66	6.914675625
67	6.895354247
68	6.870409709
69	6.848745359
70	6.828379135
71	6.807443774
72	6.788410288
73	6.770035098
74	6.750211033
75	6.733379408
76	6.713301851
77	6.693979781
78	6.675774761
79	6.659315445
80	6.640231885
81	6.623444486
82	6.607053437
83	6.590018754
84	6.575263616
85	6.557547541
86	6.539663532
87	6.522363301
88	6.506441812
89	6.492088697
90	6.47664179
91	6.461667287
92	6.447586576
93	6.431076271
94	6.417198303
95	6.399550436
96	6.382347002
97	6.367530165
98	6.350606088
99	6.336522346
100	6.324102197
101	6.311718508
102	6.299880083
103	6.287891774
104	6.276083661
105	6.26476251
106	6.254066841
107	6.243268691
108	6.229901753
109	6.217608813
110	6.206489184
111	6.195015128
112	6.18420792
113	6.173465337
114	6.161949202
115	6.151045648
116	6.140629393
117	6.130626668
118	6.119773147
119	6.108556427
120	6.099374933
121	6.089345163
122	6.079571548
123	6.07050508
124	6.059168538
125	6.04936572
126	6.040757359
127	6.031646541
128	6.022719226
129	6.014985597
130	6.005866945
131	5.997963615
132	5.990459474
133	5.982649678
134	5.974818202
135	5.966284943
136	5.958608345
137	5.949742432
138	5.940144404
139	5.932609936
140	5.925199147
141	5.917211652
142	5.910797522
143	5.903775875
144	5.897637523
145	5.890178815
146	5.880553103
147	5.874491699
148	5.868201358
149	5.862079974
150	5.853143706
151	5.846881091
152	5.83963822
153	5.833943816
154	5.828230993
155	5.821257979
156	5.813719697
157	5.808743755
158	5.803724806
159	5.796822941
160	5.791252129
161	5.785377277
162	5.778462454
163	5.772802448
164	5.76807521
165	5.763128335
166	5.758115305
167	5.751406067
168	5.746636401
169	5.740832014
170	5.735421567
171	5.730169147
172	5.725714542
173	5.71958852
174	5.715298893
175	5.710769739
176	5.705906457
177	5.70063107
178	5.696733568
179	5.692535474
180	5.688926643
181	5.68452052
182	5.679479741
183	5.674001776
184	5.669953091
185	5.665515117
186	5.662142447
187	5.657952349
188	5.652934484
189	5.648362354
190	5.644313854
191	5.63817652
192	5.634113802
193	5.629691132
194	5.626235
195	5.622499005
196	5.619438985
197	5.616413979
198	5.61314767
199	5.61027568
200	5.606582878
201	5.603852185
202	5.599365182
203	5.595883564
204	5.592721668
205	5.589734364
206	5.585783472
207	5.581561599
208	5.578920054
209	5.575317934
210	5.571922417
211	5.569316973
212	5.565056796
213	5.561969552
214	5.559517413
215	5.554674886
216	5.552290472
217	5.548807385
218	5.545202105
219	5.541660407
220	5.539483682
221	5.536102211
222	5.533066028
223	5.529609734
224	5.52620849
225	5.522125017
226	5.518792744
227	5.516712412
228	5.514482917
229	5.511426669
230	5.508749456
231	5.506097395
232	5.503477711
233	5.501219476
234	5.498617233
235	5.495910247
236	5.492755823
237	5.490612701
238	5.48790594
239	5.486043683
240	5.483691169
241	5.482504598
242	5.480818813
243	5.47784367
244	5.475970148
245	5.473895925
246	5.472277192
247	5.469208484
248	5.466463555
249	5.464637912
250	5.462702768
251	5.460798589
252	5.459172031
253	5.457634752
254	5.455518444
255	5.453807523
256	5.450905857
257	5.448765192
258	5.446569325
259	5.443823602
260	5.441738235
261	5.440251669
262	5.438681198
263	5.437118999
264	5.434613624
265	5.433168297
266	5.431484575
267	5.429795268
268	5.428200902
269	5.425774153
270	5.424158812
271	5.422373567
272	5.421168284
273	5.41887137
274	5.416844224
275	5.415548007
276	5.414222542
277	5.412983723
278	5.411628904
279	5.410159721
280	5.408921731
281	5.408108414
282	5.40701409
283	5.405613776
284	5.403973485
285	5.40257968
286	5.401624072
287	5.400138094
288	5.398752561
289	5.396723701
290	5.394967583
291	5.39384412
292	5.392663225
293	5.390788328
294	5.389260378
295	5.388154841
296	5.386900287
297	5.38583265
298	5.384961972
299	5.383169517
300	5.38213645
301	5.381101677
302	5.379356883
303	5.377437167
304	5.376428879
305	5.375481351
306	5.374429725
307	5.373929158
308	5.372113887
309	5.370452984
310	5.369465139
311	5.368489968
312	5.367779056
313	5.366375896
314	5.365680921
315	5.364189177
316	5.363372495
317	5.362213845
318	5.360723004
319	5.359118501
320	5.358012284
321	5.35698798
322	5.356211068
323	5.354942442
324	5.353490477
325	5.351992874
326	5.350826253
327	5.34999355
328	5.348551356
329	5.347084922
330	5.346638397
331	5.345816218
332	5.344788544
333	5.343975105
334	5.342826711
335	5.341583813
336	5.340309178
337	5.33944987
338	5.337959903
339	5.336868752
340	5.335988306
341	5.335521358
342	5.334380754
343	5.333503527
344	5.332844842
345	5.331588792
346	5.330880228
347	5.33019287
348	5.329698052
349	5.32858255
350	5.32802294
351	5.327593503
352	5.326962263
353	5.326189597
354	5.325447136
355	5.324975468
356	5.32412018
357	5.323611596
358	5.322721732
359	5.321934955
360	5.321301757
361	5.320784641
362	5.319863224
363	5.31932407
364	5.318057483
365	5.31732512
366	5.316483829
367	5.316041013
368	5.31534379
369	5.314578824
370	5.31400979
371	5.313153759
372	5.312679873
373	5.312255874
374	5.310823133
375	5.310176933
376	5.309520453
377	5.309075011
378	5.308046
379	5.30763963
380	5.306740418
381	5.306285213
382	5.305309523
383	5.304270723
384	5.303338373
385	5.302293783
386	5.3017375
387	5.301030835
388	5.300553291
389	5.299887487
390	5.299358897
391	5.298814676
392	5.298070219
393	5.297247746
394	5.296745936
395	5.296325708
396	5.295513473
397	5.295193377
398	5.294984234
399	5.294288634
400	5.293522245
401	5.29282219
402	5.29244055
403	5.291924256
404	5.29124064
405	5.290756724
406	5.290269675
407	5.2894672
408	5.289105909
409	5.288686161
410	5.288244913
411	5.287140897
412	5.286326353
413	5.285999429
414	5.285497781
415	5.284849451
416	5.284373902
417	5.28413258
418	5.283527478
419	5.283295221
420	5.282566465
421	5.281990687
422	5.281399426
423	5.281107878
424	5.280477771
425	5.28025742
426	5.280053992
427	5.279763242
428	5.279392715
429	5.279101535
430	5.278877384
431	5.278498586
432	5.277708126
433	5.277371706
434	5.276839314
435	5.276127179
436	5.275355617
437	5.274601312
438	5.2743016
439	5.273824127
440	5.273530084
441	5.273122262
442	5.272583631
443	5.272151385
444	5.271791482
445	5.271439138
446	5.271059387
447	5.270386103
448	5.2697589
449	5.269416153
450	5.269101204
451	5.268624304
452	5.267735076
453	5.267330385
454	5.267061354
455	5.266691696
456	5.266197159
457	5.265944068
458	5.265525991
459	5.265332211
460	5.26496083
461	5.264708219
462	5.26435896
463	5.264126404
464	5.263539998
465	5.263162446
466	5.262947334
467	5.262214492
468	5.261738944
469	5.261353873
470	5.261216646
471	5.260788182
472	5.260609747
473	5.260414243
474	5.260294643
475	5.259671955
476	5.259307008
477	5.259006241
478	5.258684667
479	5.25811472
480	5.257470959
481	5.257044483
482	5.25678662
483	5.256474158
484	5.25607032
485	5.255854936
486	5.255475471
487	5.254474339
488	5.254103803
489	5.253933992
490	5.253577418
491	5.253117204
492	5.252804704
493	5.252336834
494	5.252156544
495	5.251986086
496	5.251756435
497	5.251532715
498	5.251298544
499	5.250939656
500	5.250814257
501	5.25079428
502	5.250313199
503	5.25003715
504	5.249786495
505	5.24921609
506	5.248967148
507	5.248609926
508	5.248237322
509	5.24775985
510	5.247165607
511	5.246526935
512	5.246237054
513	5.245800013
514	5.245335775
515	5.245093791
516	5.244475329
517	5.244349558
518	5.244077082
519	5.243793918
520	5.24356802
521	5.243229403
522	5.242757646
523	5.242478466
524	5.242235223
525	5.242011498
526	5.241981755
527	5.241780838
528	5.241059343
529	5.24071855
530	5.240356672
531	5.240045334
532	5.23992169
533	5.239658019
534	5.239374801
535	5.239290925
536	5.23901175
537	5.238741447
538	5.238591779
539	5.238239085
540	5.237988387
541	5.237836111
542	5.237626937
543	5.237373558
544	5.237218589
545	5.236882511
546	5.236645896
547	5.236458491
548	5.236208673
549	5.236062623
550	5.235895283
551	5.235710679
552	5.235310005
553	5.234996021
554	5.234789846
555	5.234602281
556	5.234474212
557	5.233747231
558	5.233571719
559	5.233260514
560	5.233066401
561	5.232666379
562	5.232292889
563	5.231848599
564	5.231601063
565	5.231437056
566	5.231254265
567	5.230991316
568	5.230753118
569	5.230571247
570	5.230407218
571	5.230246556
572	5.230023602
573	5.229704203
574	5.229406721
575	5.229136096
576	5.228898357
577	5.228561446
578	5.22840409
579	5.228152697
580	5.228012418
581	5.227854602
582	5.227759674
583	5.227677074
584	5.227452574
585	5.227097323
586	5.226927459
587	5.226782994
588	5.226471485
589	5.226364287
590	5.226143133
591	5.225685963
592	5.225231354
593	5.225136269
594	5.224961142
595	5.22476035
596	5.224594338
597	5.224382671
598	5.224182738
599	5.224009762
600	5.223895405
601	5.223423707
602	5.223288185
603	5.22317904
604	5.222945851
605	5.222670909
606	5.222570248
607	5.222368571
608	5.22191892
609	5.22170909
610	5.221602552
611	5.221237298
612	5.220644055
613	5.220447746
614	5.220221485
615	5.220003957
616	5.219845342
617	5.219414752
618	5.219132708
619	5.218902665
620	5.218700404
621	5.21854439
622	5.218387611
623	5.217962745
624	5.217761326
625	5.217268384
626	5.217106442
627	5.216882892
628	5.216784572
629	5.216646052
630	5.216528354
631	5.216279721
632	5.216164242
633	5.215925265
634	5.215563867
635	5.215467603
636	5.215187195
637	5.215056067
638	5.214707717
639	5.214295118
640	5.213963978
641	5.213658936
642	5.213309974
643	5.213021663
644	5.212609776
645	5.212466726
646	5.212336127
647	5.212190645
648	5.211884446
649	5.211615792
650	5.211318279
651	5.21089393
652	5.210546438
653	5.210325481
654	5.21019741
655	5.210030667
656	5.209935149
657	5.209585965
658	5.209486762
659	5.209263592
660	5.208822062
661	5.20875456
662	5.208449181
663	5.208332956
664	5.208229537
665	5.207996937
666	5.207741327
667	5.20754119
668	5.207110827
669	5.206998106
670	5.206794167
671	5.206624903
672	5.206539558
673	5.206370532
674	5.206195525
675	5.206025468
676	5.205828058
677	5.205816579
678	5.205634298
679	5.205322666
680	5.205156998
681	5.205071647
682	5.204976755
683	5.204715213
684	5.204503212
685	5.20432176
686	5.204154959
687	5.204062564
688	5.20384347
689	5.20362396
690	5.203400092
691	5.20328296
692	5.203089973
693	5.202981686
694	5.2028694
695	5.202737675
696	5.202563768
697	5.202390208
698	5.202233511
699	5.202136124
700	5.201996009
701	5.201871375
702	5.201638332
703	5.201275146
704	5.20096923
705	5.200694145
706	5.200341772
707	5.200234401
708	5.199978998
709	5.199803125
710	5.199541251
711	5.19919546
712	5.198988009
713	5.198687432
714	5.198624307
715	5.198313275
716	5.19808573
717	5.197848726
718	5.197488526
719	5.197341457
720	5.197190867
721	5.197037632
722	5.196850902
723	5.196743465
724	5.196721022
725	5.196490587
726	5.196325529
727	5.196119936
728	5.195951762
729	5.195800028
730	5.195678547
731	5.195449047
732	5.195253697
733	5.195111317
734	5.194850668
735	5.194656161
736	5.194514941
737	5.194325267
738	5.194178792
739	5.193995351
740	5.193851098
741	5.193689412
742	5.19335625
743	5.193113719
744	5.192862414
745	5.192779563
746	5.192611199
747	5.192428579
748	5.19229882
749	5.192158087
750	5.191856418
751	5.191720627
752	5.191593769
753	5.191415986
754	5.191222461
755	5.191101249
756	5.190959342
757	5.190947824
758	5.19081188
759	5.1907501
760	5.190572908
761	5.190493269
762	5.190436318
763	5.190125002
764	5.189984599
765	5.189884329
766	5.189774824
767	5.189669069
768	5.189483833
769	5.189379145
770	5.189091877
771	5.188760765
772	5.188472301
773	5.188319072
774	5.188204409
775	5.188108338
776	5.188005366
777	5.187918948
778	5.187834892
779	5.187529464
780	5.187411289
781	5.18706769
782	5.186878599
783	5.186702906
784	5.186643144
785	5.186551651
786	5.186380741
787	5.18625941
788	5.186147153
789	5.185866109
790	5.185780922
791	5.185645067
792	5.185512776
793	5.185258088
794	5.185116039
795	5.184806548
796	5.184707061
797	5.184509402
798	5.184283375
799	5.184116647
800	5.183976943
801	5.183655539
802	5.183427449
803	5.183268087
804	5.183104532
805	5.182807941
806	5.182579525
807	5.182294321
808	5.182153922
809	5.182027106
810	5.181696046
811	5.181464266
812	5.181352498
813	5.181154428
814	5.180991655
815	5.180771646
816	5.180661908
817	5.180596664
818	5.180498194
819	5.180358098
820	5.180215051
821	5.180109352
822	5.179820417
823	5.179593987
824	5.17941035
825	5.179012774
826	5.17892355
827	5.178802998
828	5.178697633
829	5.178369523
830	5.178285789
831	5.178192396
832	5.178163736
833	5.178064053
834	5.177918259
835	5.177693026
836	5.177506272
837	5.177346683
838	5.177117977
839	5.176903682
840	5.176891151
841	5.176854334
842	5.176564075
843	5.176335155
844	5.176182424
845	5.175990966
846	5.175896037
847	5.175681891
848	5.175315612
849	5.175202709
850	5.175058261
851	5.174893896
852	5.174858401
853	5.174465119
854	5.174183633
855	5.174071695
856	5.17389664
857	5.173885609
858	5.17381831
859	5.17375746
860	5.173533855
861	5.173403077
862	5.173224262
863	5.173141416
864	5.17302295
865	5.172926817
866	5.172670144
867	5.172353616
868	5.172266096
869	5.172258434
870	5.172087008
871	5.171921702
872	5.171581412
873	5.171323355
874	5.171163996
875	5.171012458
876	5.17085325
877	5.170666671
878	5.170633778
879	5.170475156
880	5.170295774
881	5.170076493
882	5.169752583
883	5.169542261
884	5.169234785
885	5.169180297
886	5.168897547
887	5.16880198
888	5.168581844
889	5.168474343
890	5.168356195
891	5.168204608
892	5.168024281
893	5.167894811
894	5.167711218
895	5.167625
896	5.167617787
897	5.167452015
898	5.167086776
899	5.166941065
900	5.166773844
901	5.166559539
902	5.166474203
903	5.16624156
904	5.166143107
905	5.165848153
906	5.165638504
907	5.165465343
908	5.165407355
909	5.165195342
910	5.165136352
911	5.164896703
912	5.164722785
913	5.164531292
914	5.164384397
915	5.164342706
916	5.164212481
917	5.164102762
918	5.163823905
919	5.163700227
920	5.163474496
921	5.163276638
922	5.163155405
923	5.162910731
924	5.162524433
925	5.162403538
926	5.162275337
927	5.162195127
928	5.162108854
929	5.161909386
930	5.161808504
931	5.161604238
932	5.161426186
933	5.161318231
934	5.161098722
935	5.161001294
936	5.160879123
937	5.160764115
938	5.1607188
939	5.160419085
940	5.160269908
941	5.160113184
942	5.160031064
943	5.159854289
944	5.159710637
945	5.159483856
946	5.15931602
947	5.159239536
948	5.15916701
949	5.15901638
950	5.158886569
951	5.158719782
952	5.158511209
953	5.158407822
954	5.158234835
955	5.158155177
956	5.158063195
957	5.157908731
958	5.157753902
959	5.157593594
960	5.157518196
961	5.157456069
962	5.157454439
963	5.157351359
964	5.157348603
965	5.157220799
966	5.157039805
967	5.156963615
968	5.156916376
969	5.15673001
970	5.15657564
971	5.156330504
972	5.156155037
973	5.156084701
974	5.155845258
975	5.15575381
976	5.155522822
977	5.155519577
978	5.155399745
979	5.155232588
980	5.155136206
981	5.154862994
982	5.154842689
983	5.154735251
984	5.154539738
985	5.154400334
986	5.154186517
987	5.153799261
988	5.153612772
989	5.153558654
990	5.153474264
991	5.153251993
992	5.152963181
993	5.15288146
994	5.152768163
995	5.152555101
996	5.15232113
997	5.152164062
998	5.152003653
999	5.151739432
