iter	Passed	Remaining
0	142	142192
1	148	74057
2	153	51096
3	159	39608
4	164	32737
5	169	28119
6	174	24775
7	179	22276
8	185	20395
9	190	18837
10	195	17568
11	200	16530
12	205	15637
13	211	14899
14	216	14225
15	222	13677
16	227	13146
17	231	12655
18	237	12239
19	241	11848
20	247	11518
21	252	11211
22	257	10930
23	262	10683
24	268	10452
25	273	10243
26	278	10043
27	283	9839
28	288	9653
29	293	9477
30	297	9299
31	302	9155
32	307	9008
33	311	8864
34	316	8731
35	321	8605
36	326	8489
37	330	8371
38	336	8279
39	340	8177
40	345	8081
41	350	8000
42	355	7909
43	360	7831
44	365	7752
45	372	7728
46	378	7668
47	383	7601
48	387	7524
49	392	7461
50	397	7402
51	402	7338
52	407	7283
53	412	7222
54	417	7172
55	422	7119
56	427	7075
57	433	7038
58	438	6990
59	443	6943
60	448	6897
61	452	6849
62	458	6813
63	462	6770
64	467	6726
65	472	6686
66	477	6649
67	482	6609
68	487	6573
69	492	6540
70	496	6500
71	501	6460
72	506	6433
73	511	6402
74	516	6370
75	521	6337
76	525	6304
77	530	6271
78	535	6239
79	539	6209
80	545	6185
81	550	6162
82	555	6135
83	560	6110
84	565	6083
85	570	6060
86	574	6034
87	579	6006
88	584	5981
89	588	5954
90	594	5935
91	599	5912
92	603	5886
93	608	5865
94	613	5846
95	618	5826
96	623	5804
97	628	5788
98	634	5772
99	639	5755
100	644	5736
101	649	5715
102	654	5698
103	659	5680
104	664	5665
105	669	5649
106	675	5633
107	679	5614
108	684	5598
109	689	5579
110	694	5559
111	699	5545
112	704	5528
113	709	5512
114	714	5496
115	719	5482
116	725	5471
117	730	5456
118	734	5439
119	739	5424
120	745	5413
121	750	5397
122	754	5380
123	759	5367
124	764	5352
125	768	5333
126	774	5321
127	778	5306
128	783	5289
129	788	5274
130	793	5260
131	797	5245
132	802	5228
133	806	5214
134	811	5200
135	816	5185
136	821	5173
137	825	5157
138	830	5145
139	835	5131
140	840	5120
141	845	5109
142	850	5099
143	855	5087
144	860	5075
145	865	5061
146	870	5050
147	874	5036
148	879	5024
149	884	5012
150	889	5000
151	894	4988
152	898	4976
153	903	4964
154	908	4950
155	913	4939
156	917	4928
157	922	4915
158	927	4905
159	932	4896
160	938	4889
161	942	4876
162	947	4864
163	952	4852
164	956	4839
165	961	4829
166	966	4819
167	970	4807
168	975	4798
169	980	4787
170	985	4776
171	990	4765
172	994	4756
173	999	4744
174	1004	4737
175	1009	4727
176	1014	4718
177	1019	4707
178	1024	4698
179	1029	4688
180	1034	4680
181	1038	4669
182	1043	4658
183	1048	4648
184	1052	4638
185	1058	4630
186	1063	4621
187	1068	4612
188	1072	4603
189	1077	4593
190	1082	4585
191	1087	4576
192	1092	4567
193	1097	4559
194	1101	4548
195	1106	4539
196	1111	4528
197	1115	4519
198	1120	4509
199	1124	4499
200	1129	4491
201	1134	4479
202	1139	4471
203	1143	4461
204	1148	4452
205	1152	4441
206	1157	4433
207	1162	4425
208	1166	4416
209	1171	4408
210	1177	4401
211	1182	4393
212	1186	4385
213	1192	4378
214	1197	4371
215	1202	4364
216	1207	4356
217	1212	4348
218	1217	4340
219	1222	4333
220	1226	4324
221	1232	4317
222	1237	4310
223	1241	4300
224	1246	4292
225	1251	4287
226	1256	4279
227	1261	4271
228	1266	4262
229	1270	4254
230	1275	4245
231	1279	4236
232	1285	4231
233	1289	4221
234	1294	4213
235	1298	4204
236	1303	4196
237	1307	4187
238	1313	4180
239	1317	4172
240	1322	4163
241	1325	4152
242	1330	4144
243	1335	4138
244	1340	4129
245	1344	4122
246	1349	4115
247	1354	4107
248	1359	4101
249	1364	4092
250	1369	4085
251	1373	4077
252	1378	4069
253	1382	4061
254	1387	4053
255	1392	4046
256	1396	4038
257	1401	4031
258	1406	4023
259	1411	4016
260	1415	4008
261	1420	4001
262	1425	3995
263	1430	3988
264	1435	3980
265	1439	3973
266	1444	3965
267	1449	3958
268	1454	3951
269	1459	3944
270	1463	3937
271	1468	3930
272	1472	3922
273	1477	3915
274	1482	3908
275	1487	3902
276	1492	3894
277	1497	3887
278	1501	3880
279	1506	3873
280	1511	3866
281	1515	3859
282	1520	3852
283	1525	3845
284	1530	3838
285	1534	3830
286	1539	3823
287	1543	3816
288	1548	3809
289	1553	3803
290	1558	3796
291	1563	3790
292	1567	3783
293	1572	3776
294	1577	3770
295	1581	3762
296	1586	3755
297	1591	3748
298	1595	3741
299	1600	3734
300	1606	3730
301	1610	3722
302	1615	3716
303	1620	3710
304	1625	3703
305	1630	3697
306	1635	3691
307	1638	3680
308	1642	3674
309	1648	3668
310	1653	3663
311	1658	3656
312	1663	3651
313	1668	3645
314	1673	3638
315	1678	3632
316	1682	3624
317	1687	3618
318	1692	3612
319	1696	3605
320	1701	3598
321	1705	3591
322	1710	3585
323	1715	3578
324	1720	3572
325	1725	3566
326	1729	3560
327	1734	3554
328	1739	3548
329	1744	3541
330	1748	3534
331	1753	3528
332	1758	3522
333	1762	3515
334	1767	3509
335	1772	3502
336	1777	3497
337	1782	3490
338	1787	3485
339	1792	3479
340	1796	3472
341	1803	3469
342	1808	3464
343	1813	3458
344	1818	3452
345	1822	3445
346	1827	3439
347	1833	3434
348	1835	3423
349	1840	3417
350	1844	3411
351	1850	3405
352	1854	3399
353	1859	3393
354	1864	3387
355	1868	3380
356	1873	3374
357	1878	3368
358	1883	3362
359	1888	3356
360	1892	3350
361	1898	3345
362	1902	3339
363	1907	3333
364	1912	3326
365	1916	3320
366	1921	3314
367	1926	3308
368	1931	3302
369	1936	3297
370	1941	3291
371	1945	3284
372	1950	3278
373	1955	3272
374	1959	3266
375	1964	3259
376	1969	3253
377	1973	3247
378	1978	3241
379	1982	3234
380	1989	3231
381	1993	3225
382	1998	3219
383	2003	3213
384	2007	3206
385	2012	3201
386	2017	3196
387	2020	3186
388	2025	3180
389	2029	3175
390	2034	3168
391	2039	3162
392	2041	3152
393	2046	3147
394	2051	3142
395	2056	3136
396	2060	3130
397	2065	3124
398	2070	3119
399	2075	3113
400	2080	3108
401	2085	3102
402	2089	3096
403	2095	3091
404	2099	3084
405	2104	3079
406	2109	3073
407	2114	3068
408	2119	3062
409	2123	3056
410	2128	3050
411	2133	3044
412	2138	3040
413	2143	3034
414	2148	3028
415	2153	3023
416	2158	3017
417	2163	3011
418	2168	3006
419	2173	3000
420	2177	2994
421	2183	2990
422	2187	2984
423	2193	2979
424	2198	2974
425	2203	2968
426	2207	2962
427	2212	2956
428	2217	2950
429	2221	2944
430	2226	2939
431	2231	2934
432	2236	2928
433	2241	2923
434	2246	2917
435	2251	2913
436	2256	2907
437	2261	2901
438	2265	2895
439	2269	2889
440	2275	2883
441	2279	2878
442	2284	2872
443	2289	2867
444	2294	2861
445	2299	2856
446	2304	2850
447	2308	2844
448	2313	2839
449	2318	2833
450	2323	2828
451	2328	2822
452	2332	2817
453	2336	2810
454	2341	2804
455	2346	2798
456	2350	2793
457	2356	2788
458	2361	2783
459	2366	2777
460	2370	2771
461	2375	2766
462	2380	2760
463	2385	2755
464	2390	2750
465	2395	2744
466	2399	2739
467	2404	2733
468	2409	2727
469	2414	2722
470	2419	2717
471	2424	2711
472	2428	2706
473	2433	2700
474	2438	2694
475	2442	2689
476	2447	2683
477	2451	2677
478	2456	2671
479	2461	2666
480	2466	2660
481	2470	2655
482	2475	2649
483	2479	2643
484	2484	2638
485	2489	2632
486	2494	2627
487	2499	2622
488	2503	2616
489	2508	2610
490	2512	2605
491	2517	2599
492	2521	2593
493	2526	2587
494	2531	2582
495	2536	2577
496	2541	2571
497	2545	2566
498	2551	2561
499	2555	2555
500	2560	2550
501	2565	2545
502	2570	2539
503	2574	2533
504	2579	2528
505	2584	2522
506	2588	2517
507	2593	2511
508	2598	2506
509	2602	2500
510	2607	2494
511	2612	2489
512	2616	2484
513	2622	2479
514	2626	2473
515	2632	2469
516	2637	2463
517	2642	2458
518	2646	2453
519	2651	2447
520	2656	2442
521	2661	2437
522	2666	2432
523	2671	2426
524	2675	2420
525	2680	2415
526	2684	2409
527	2686	2401
528	2691	2396
529	2695	2390
530	2700	2385
531	2705	2380
532	2709	2374
533	2714	2368
534	2719	2363
535	2723	2358
536	2728	2352
537	2733	2347
538	2738	2341
539	2742	2335
540	2747	2330
541	2749	2323
542	2754	2318
543	2759	2312
544	2764	2308
545	2769	2302
546	2773	2297
547	2778	2291
548	2783	2286
549	2788	2281
550	2792	2275
551	2797	2270
552	2802	2265
553	2806	2259
554	2811	2254
555	2816	2249
556	2821	2244
557	2826	2238
558	2831	2233
559	2836	2228
560	2841	2223
561	2846	2218
562	2851	2213
563	2855	2207
564	2860	2202
565	2864	2196
566	2869	2191
567	2874	2186
568	2879	2181
569	2883	2175
570	2888	2169
571	2892	2164
572	2897	2159
573	2902	2153
574	2906	2148
575	2909	2141
576	2913	2136
577	2918	2131
578	2923	2125
579	2928	2120
580	2933	2115
581	2938	2110
582	2942	2104
583	2947	2099
584	2953	2095
585	2958	2090
586	2962	2084
587	2967	2079
588	2971	2073
589	2977	2069
590	2982	2063
591	2987	2058
592	2992	2053
593	2996	2048
594	3001	2043
595	3006	2037
596	3010	2032
597	3014	2026
598	3019	2021
599	3021	2014
600	3026	2009
601	3031	2004
602	3036	1999
603	3041	1994
604	3046	1989
605	3051	1984
606	3056	1979
607	3061	1973
608	3066	1968
609	3071	1963
610	3077	1959
611	3083	1954
612	3086	1948
613	3091	1943
614	3096	1938
615	3101	1933
616	3106	1928
617	3111	1923
618	3116	1918
619	3121	1913
620	3125	1907
621	3131	1902
622	3135	1897
623	3140	1892
624	3146	1887
625	3150	1882
626	3155	1877
627	3160	1871
628	3165	1866
629	3170	1861
630	3176	1857
631	3181	1852
632	3185	1847
633	3191	1842
634	3196	1837
635	3201	1832
636	3206	1827
637	3211	1822
638	3216	1816
639	3221	1812
640	3226	1807
641	3232	1802
642	3237	1797
643	3241	1792
644	3246	1787
645	3252	1782
646	3257	1777
647	3262	1772
648	3266	1766
649	3271	1761
650	3276	1756
651	3281	1751
652	3286	1746
653	3291	1741
654	3295	1736
655	3300	1730
656	3305	1725
657	3310	1720
658	3312	1713
659	3317	1708
660	3322	1703
661	3326	1698
662	3331	1693
663	3335	1688
664	3341	1683
665	3345	1677
666	3350	1672
667	3354	1667
668	3359	1662
669	3363	1656
670	3368	1651
671	3374	1646
672	3379	1641
673	3384	1636
674	3389	1631
675	3393	1626
676	3398	1621
677	3403	1616
678	3408	1611
679	3413	1606
680	3418	1601
681	3423	1596
682	3427	1590
683	3431	1585
684	3436	1580
685	3439	1574
686	3444	1569
687	3447	1563
688	3452	1558
689	3457	1553
690	3461	1547
691	3466	1542
692	3471	1537
693	3476	1532
694	3480	1527
695	3486	1522
696	3491	1517
697	3496	1513
698	3501	1507
699	3507	1503
700	3512	1498
701	3516	1492
702	3521	1487
703	3526	1482
704	3532	1478
705	3538	1473
706	3542	1468
707	3548	1463
708	3553	1458
709	3556	1452
710	3560	1447
711	3565	1442
712	3570	1437
713	3575	1432
714	3580	1427
715	3585	1422
716	3590	1417
717	3595	1412
718	3600	1407
719	3602	1401
720	3607	1395
721	3612	1391
722	3617	1386
723	3622	1380
724	3627	1376
725	3633	1371
726	3637	1366
727	3643	1361
728	3647	1356
729	3652	1351
730	3657	1346
731	3662	1341
732	3667	1336
733	3672	1330
734	3677	1326
735	3682	1321
736	3687	1315
737	3692	1310
738	3697	1305
739	3702	1300
740	3706	1295
741	3711	1290
742	3716	1285
743	3722	1280
744	3726	1275
745	3731	1270
746	3736	1265
747	3740	1260
748	3745	1255
749	3750	1250
750	3755	1245
751	3759	1239
752	3764	1234
753	3769	1229
754	3774	1224
755	3778	1219
756	3784	1214
757	3788	1209
